,state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
3,alabama,2015,1.11,0.26,0.64,2.01,263.11111111111114,51.5968992248062,132.87915652879158,428.8
45,alaska,2015,1.11,0.53,1.2,2.84,263.11111111111114,105.1782945736434,249.1484184914842,605.8666666666667
87,arizona,2015,1.16,0.4,0.7799999999999999,2.34,274.962962962963,79.37984496124031,161.94647201946472,499.2
129,arkansas,2015,0.97,0.22,0.65,1.83,229.92592592592598,43.65891472868218,134.95539334955393,390.4
171,california,2015,1.0,0.53,0.75,2.28,237.03703703703704,105.1782945736434,155.71776155717762,486.40000000000015
213,colorado,2015,1.12,0.51,1.14,2.77,265.4814814814815,101.2093023255814,236.69099756691003,590.9333333333334
255,connecticut,2015,0.8500000000000001,0.61,0.95,2.41,201.48148148148152,121.05426356589146,197.242497972425,514.1333333333333
297,delaware,2015,1.1900000000000002,0.72,1.75,3.66,282.07407407407413,142.88372093023253,363.34144363341437,780.8000000000002
339,district of columbia,2015,1.14,1.02,1.6700000000000002,3.82,270.22222222222223,202.4186046511628,346.7315490673156,814.9333333333333
381,florida,2015,1.11,0.51,0.98,2.61,263.11111111111114,101.2093023255814,203.4712084347121,556.8
423,georgia,2015,1.01,0.25,0.69,1.95,239.40740740740745,49.61240310077518,143.2603406326034,416.0
465,hawaii,2015,1.28,0.56,0.77,2.61,303.40740740740745,111.13178294573645,159.87023519870237,556.8
507,idaho,2015,0.94,1.14,0.7899999999999999,2.87,222.8148148148148,226.2325581395349,164.0227088402271,612.2666666666668
549,illinois,2015,1.12,0.4300000000000001,0.8,2.36,265.4814814814815,85.33333333333334,166.09894566098947,503.4666666666666
591,indiana,2015,0.98,0.28,0.88,2.14,232.2962962962963,55.56589147286822,182.7088402270884,456.53333333333336
633,iowa,2015,1.31,0.22,0.8300000000000001,2.36,310.5185185185185,43.65891472868218,172.3276561232766,503.4666666666666
675,kansas,2015,1.03,0.14,0.74,1.91,244.14814814814812,27.78294573643411,153.64152473641525,407.4666666666666
717,kentucky,2015,0.99,0.22,0.76,1.97,234.66666666666663,43.65891472868218,157.79399837794,420.26666666666665
759,louisiana,2015,1.27,0.33,0.98,2.59,301.03703703703707,65.48837209302324,203.4712084347121,552.5333333333333
801,maine,2015,1.37,0.44,0.97,2.78,324.7407407407408,87.31782945736435,201.3949716139497,593.0666666666667
843,maryland,2015,0.8500000000000001,0.39,0.9,2.14,201.48148148148152,77.3953488372093,186.86131386861317,456.53333333333336
885,massachusetts,2015,0.96,0.65,0.91,2.52,227.55555555555557,128.9922480620155,188.93755068937548,537.6
927,michigan,2015,0.99,0.36,0.89,2.24,234.66666666666663,71.44186046511626,184.7850770478508,477.86666666666673
2187,midwest region,2015,1.15,0.35,0.8600000000000001,2.36,272.5925925925927,69.45736434108527,178.55636658556372,503.4666666666666
969,minnesota,2015,1.16,0.4300000000000001,1.14,2.73,274.962962962963,85.33333333333334,236.69099756691003,582.4
1011,mississippi,2015,1.31,0.17,0.77,2.24,310.5185185185185,33.73643410852713,159.87023519870237,477.86666666666673
1053,missouri,2015,1.1700000000000002,0.39,0.97,2.53,277.33333333333337,77.3953488372093,201.3949716139497,539.7333333333332
1095,montana,2015,1.63,0.5,0.96,3.09,386.3703703703704,99.22480620155036,199.31873479318736,659.2
1137,nebraska,2015,1.34,0.22,0.71,2.27,317.6296296296297,43.65891472868218,147.41281427412815,484.2666666666667
1179,nevada,2015,1.39,0.6599999999999999,1.3,3.35,329.4814814814815,130.97674418604652,269.91078669910786,714.6666666666665
1221,new hampshire,2015,1.87,0.88,1.95,4.7,443.25925925925935,174.6356589147287,404.8661800486618,1002.6666666666667
1263,new jersey,2015,0.8400000000000001,0.6,0.93,2.37,199.11111111111111,119.06976744186045,193.09002433090026,505.6
1305,new mexico,2015,1.02,0.3,0.7799999999999999,2.1,241.77777777777783,59.534883720930225,161.94647201946472,448.00000000000006
1347,new york,2015,0.91,0.5,0.77,2.19,215.7037037037037,99.22480620155036,159.87023519870237,467.2
1389,north carolina,2015,1.05,0.42,0.63,2.1,248.88888888888889,83.34883720930233,130.8029197080292,448.00000000000006
1431,north dakota,2015,1.58,0.35,1.33,3.26,374.51851851851853,69.45736434108527,276.139497161395,695.4666666666667
