,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total,STATE,ANN
0,1.11,0.26,0.64,2.01,263.11,51.6,132.88,428.8,AL,107.0
1,1.11,0.26,0.64,2.01,263.11,51.6,132.88,428.8,AL,106.0
2,1.11,0.26,0.64,2.01,263.11,51.6,132.88,428.8,AL,105.0
3,1.11,0.26,0.64,2.01,263.11,51.6,132.88,428.8,AL,106.0
4,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,85.0
5,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,93.0
6,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,79.0
7,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,90.0
8,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,93.0
9,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,92.0
10,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,77.0
11,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,96.0
12,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,97.0
13,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,81.0
14,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,90.0
15,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,88.0
16,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,86.0
17,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,85.0
18,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,94.0
19,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,86.0
20,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,66.0
21,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,96.0
22,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,90.0
23,1.11,0.53,1.2,2.84,263.11,105.18,249.15,605.87,AK,87.0
24,1.16,0.4,0.78,2.34,274.96,79.38,161.95,499.2,AZ,99.0
25,1.16,0.4,0.78,2.34,274.96,79.38,161.95,499.2,AZ,122.0
26,1.16,0.4,0.78,2.34,274.96,79.38,161.95,499.2,AZ,117.0
27,1.16,0.4,0.78,2.34,274.96,79.38,161.95,499.2,AZ,109.0
28,0.97,0.22,0.65,1.83,229.93,43.66,134.96,390.4,AR,115.0
29,0.97,0.22,0.65,1.83,229.93,43.66,134.96,390.4,AR,114.0
30,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,115.0
31,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,110.0
32,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,97.0
33,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,113.0
34,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,111.0
35,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,113.0
36,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,118.0
37,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,115.0
38,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,111.0
39,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,103.0
40,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,103.0
41,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,108.0
42,1.0,0.53,0.75,2.28,237.04,105.18,155.72,486.4,CA,115.0
43,1.12,0.51,1.14,2.77,265.48,101.21,236.69,590.93,CO,96.0
44,1.12,0.51,1.14,2.77,265.48,101.21,236.69,590.93,CO,101.0
45,1.12,0.51,1.14,2.77,265.48,101.21,236.69,590.93,CO,104.0
46,1.12,0.51,1.14,2.77,265.48,101.21,236.69,590.93,CO,106.0
47,1.12,0.51,1.14,2.77,265.48,101.21,236.69,590.93,CO,109.0
48,0.85,0.61,0.95,2.41,201.48,121.05,197.24,514.13,CT,103.0
49,0.85,0.61,0.95,2.41,201.48,121.05,197.24,514.13,CT,103.0
50,1.19,0.72,1.75,3.66,282.07,142.88,363.34,780.8,DE,103.0
51,1.14,1.02,1.67,3.82,270.22,202.42,346.73,814.93,,
52,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,102.0
53,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,103.0
54,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,103.0
55,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,105.0
56,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,95.0
57,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,98.0
58,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,101.0
59,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,106.0
60,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,105.0
61,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,99.0
62,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,102.0
63,1.11,0.51,0.98,2.61,263.11,101.21,203.47,556.8,FL,101.0
64,1.01,0.25,0.69,1.95,239.41,49.61,143.26,416.0,GA,109.0
65,1.01,0.25,0.69,1.95,239.41,49.61,143.26,416.0,GA,106.0
66,1.01,0.25,0.69,1.95,239.41,49.61,143.26,416.0,GA,108.0
67,1.01,0.25,0.69,1.95,239.41,49.61,143.26,416.0,GA,106.0
68,1.01,0.25,0.69,1.95,239.41,49.61,143.26,416.0,GA,108.0
69,1.01,0.25,0.69,1.95,239.41,49.61,143.26,416.0,GA,105.0
70,1.28,0.56,0.77,2.61,303.41,111.13,159.87,556.8,HI,94.0
71,1.28,0.56,0.77,2.61,303.41,111.13,159.87,556.8,HI,95.0
72,1.28,0.56,0.77,2.61,303.41,111.13,159.87,556.8,HI,97.0
73,1.28,0.56,0.77,2.61,303.41,111.13,159.87,556.8,HI,91.0
74,0.94,1.14,0.79,2.87,222.81,226.23,164.02,612.27,ID,111.0
75,0.94,1.14,0.79,2.87,222.81,226.23,164.02,612.27,ID,115.0
76,0.94,1.14,0.79,2.87,222.81,226.23,164.02,612.27,ID,104.0
77,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,104.0
78,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,104.0
79,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,105.0
80,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,105.0
81,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,112.0
82,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,107.0
83,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,106.0
84,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,105.0
85,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,109.0
86,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,108.0
87,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,101.0
88,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,108.0
89,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,105.0
90,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,116.0
91,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,111.0
92,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,111.0
93,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,112.0
94,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,113.0
95,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,104.0
96,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,108.0
97,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,106.0
98,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,108.0
99,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,105.0
100,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,107.0
101,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,102.0
102,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,109.0
103,1.37,0.44,0.97,2.78,324.74,87.32,201.39,593.07,ME,96.0
104,1.37,0.44,0.97,2.78,324.74,87.32,201.39,593.07,ME,103.0
105,0.85,0.39,0.9,2.14,201.48,77.4,186.86,456.53,MD,106.0
106,0.96,0.65,0.91,2.52,227.56,128.99,188.94,537.6,MA,101.0
107,0.96,0.65,0.91,2.52,227.56,128.99,188.94,537.6,MA,103.0
108,0.96,0.65,0.91,2.52,227.56,128.99,188.94,537.6,MA,99.0
109,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,106.0
110,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,104.0
111,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,101.0
112,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,104.0
113,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,103.0
114,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,103.0
115,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,99.0
116,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,98.0
117,1.15,0.35,0.86,2.36,272.59,69.46,178.56,503.47,,
118,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,97.0
119,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,103.0
120,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,105.0
121,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,108.0
122,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,103.0
123,1.31,0.17,0.77,2.24,310.52,33.74,159.87,477.87,MS,107.0
124,1.31,0.17,0.77,2.24,310.52,33.74,159.87,477.87,MS,107.0
125,1.31,0.17,0.77,2.24,310.52,33.74,159.87,477.87,MS,107.0
