	state	number_of_drinks_total
3	alabama	428.8
45	alaska	605.8666666666667
87	arizona	499.2
129	arkansas	390.4
171	california	486.40000000000015
213	colorado	590.9333333333334
255	connecticut	514.1333333333333
297	delaware	780.8000000000002
339	district of columbia	814.9333333333333
381	florida	556.8
423	georgia	416.0
465	hawaii	556.8
507	idaho	612.2666666666668
549	illinois	503.4666666666666
591	indiana	456.53333333333336
633	iowa	503.4666666666666
675	kansas	407.4666666666666
717	kentucky	420.26666666666665
759	louisiana	552.5333333333333
801	maine	593.0666666666667
843	maryland	456.53333333333336
885	massachusetts	537.6
927	michigan	477.86666666666673
2187	midwest region	503.4666666666666
969	minnesota	582.4
1011	mississippi	477.86666666666673
1053	missouri	539.7333333333332
1095	montana	659.2
1137	nebraska	484.2666666666667
1179	nevada	714.6666666666665
1221	new hampshire	1002.6666666666667
1263	new jersey	505.6
1305	new mexico	448.00000000000006
1347	new york	467.2
1389	north carolina	448.00000000000006
1431	north dakota	695.4666666666667
2145	northeast region	512.0
1473	ohio	433.06666666666666
1515	oklahoma	403.2000000000001
1557	oregon	578.1333333333333
1599	pennsylvania	497.06666666666666
1641	rhode island	537.6
1683	south carolina	480.0
1725	south dakota	599.4666666666667
2229	south region	477.86666666666673
1767	tennessee	439.4666666666667
1809	texas	486.40000000000015
2313	us total	497.06666666666666
1851	utah	298.6666666666667
1893	vermont	657.0666666666667
1935	virginia	454.4
1977	washington	482.1333333333334
2271	west region	507.73333333333335
2019	west virginia	379.73333333333335
2061	wisconsin	635.7333333333332
2103	wyoming	584.5333333333333
