state	number_of_drinks_total
new hampshire	1002.6666666666667
district of columbia	814.9333333333333
delaware	780.8000000000002
nevada	714.6666666666665
north dakota	695.4666666666667
montana	659.2
vermont	657.0666666666667
wisconsin	635.7333333333332
idaho	612.2666666666668
alaska	605.8666666666667
south dakota	599.4666666666667
maine	593.0666666666667
colorado	590.9333333333334
wyoming	584.5333333333333
minnesota	582.4
oregon	578.1333333333333
florida	556.8
hawaii	556.8
louisiana	552.5333333333333
missouri	539.7333333333332
massachusetts	537.6
rhode island	537.6
connecticut	514.1333333333333
northeast region	512.0
west region	507.73333333333335
new jersey	505.6
illinois	503.4666666666666
iowa	503.4666666666666
midwest region	503.4666666666666
arizona	499.2
pennsylvania	497.06666666666666
us total	497.06666666666666
california	486.40000000000015
texas	486.40000000000015
nebraska	484.2666666666667
washington	482.1333333333334
south carolina	480.0
michigan	477.86666666666673
mississippi	477.86666666666673
south region	477.86666666666673
new york	467.2
indiana	456.53333333333336
maryland	456.53333333333336
virginia	454.4
new mexico	448.00000000000006
north carolina	448.00000000000006
tennessee	439.4666666666667
ohio	433.06666666666666
alabama	428.8
kentucky	420.26666666666665
georgia	416.0
kansas	407.4666666666666
oklahoma	403.2000000000001
arkansas	390.4
west virginia	379.73333333333335
utah	298.6666666666667
